,V1,V2,V3,V4,V5,V6,V7
77,1500,0.1,0.592791522,0.573784722,0.409722222,0.737847222,0.156218594
78,1500,1,0.592791522,0.573784722,0.409722222,0.737847222,0.156218594
79,1500,10,0.592791522,0.573784722,0.409722222,0.737847222,0.156218594
80,1500,100,0.592791522,0.573784722,0.409722222,0.737847222,0.156218594
82,1400,0.1,0.591109664,0.572916667,0.65625,0.489583333,0.147901995
83,1400,1,0.591109664,0.572916667,0.65625,0.489583333,0.147901995
84,1400,10,0.591109664,0.572916667,0.65625,0.489583333,0.147901995
85,1400,100,0.591109664,0.572916667,0.65625,0.489583333,0.147901995
92,1200,0.1,0.578477648,0.571180556,0.659722222,0.482638889,0.144647135
87,1300,0.1,0.577772352,0.571180556,0.614583333,0.527777778,0.142900521
88,1300,1,0.577772352,0.571180556,0.614583333,0.527777778,0.142900521
89,1300,10,0.577772352,0.571180556,0.614583333,0.527777778,0.142900521
90,1300,100,0.577772352,0.571180556,0.614583333,0.527777778,0.142900521
97,1100,0.1,0.565366392,0.568576389,0.376736111,0.760416667,0.148519594
112,800,0.1,0.569486642,0.566840278,0.59375,0.539930556,0.133874582
124,600,10,0.561020086,0.565972222,0.5,0.631944444,0.133108194
98,1100,1,0.552285277,0.563368056,0.345486111,0.78125,0.140808355
99,1100,10,0.552285277,0.563368056,0.345486111,0.78125,0.140808355
100,1100,100,0.552285277,0.563368056,0.345486111,0.78125,0.140808355
107,900,0.1,0.56410952,0.561631944,0.451388889,0.671875,0.126373937
119,700,10,0.547559197,0.559895833,0.493055556,0.626736111,0.120876598
102,1000,0.1,0.542266469,0.547743056,0.583333333,0.512152778,0.095728933
108,900,1,0.536678361,0.546875,0.315972222,0.777777778,0.10569559
113,800,1,0.540430893,0.542534722,0.559027778,0.526041667,0.085115764
109,900,10,0.521424093,0.5390625,0.352430556,0.725694444,0.084211358
110,900,100,0.535560137,0.5390625,0.508680556,0.569444444,0.078269629
114,800,10,0.514732832,0.537326389,0.305555556,0.769097222,0.084251071
103,1000,1,0.515218099,0.528645833,0.404513889,0.652777778,0.059143299
115,800,100,0.514588156,0.526909722,0.269097222,0.784722222,0.062813424
104,1000,10,0.501494985,0.5234375,0.170138889,0.876736111,0.066243558
105,1000,100,0.489851587,0.522569444,0.21875,0.826388889,0.056834708
