,V1,V2,V3,,
278,1700,30,83.60128617,,
279,1700,100,84.88745981,,
280,1690,0.01,84.40514469,,
281,1690,0.03,84.88745981,,
282,1690,0.1,84.24437299,,
283,1690,0.3,83.60128617,,
284,1690,1,84.40514469,,
285,1690,3,84.7266881,,
286,1690,10,84.7266881,,
287,1690,30,85.04823151,,
288,1690,100,85.04823151,,
289,1680,0.01,84.7266881,,
290,1680,0.03,84.40514469,,
291,1680,0.1,84.08360129,,
292,1680,0.3,86.65594855,,
293,1680,1,85.36977492,,
294,1680,3,86.17363344,,
295,1680,10,84.5659164,,
296,1680,30,84.40514469,,
297,1680,100,84.88745981,,
298,1670,0.01,83.11897106,,
299,1670,0.03,83.44051447,,
300,1670,0.1,84.40514469,,
301,1670,0.3,84.24437299,,
302,1670,1,84.88745981,,
303,1670,3,83.76205788,,
304,1670,10,84.24437299,,
305,1670,30,83.60128617,,
306,1670,100,84.08360129,,
307,1660,0.01,85.85209003,,
308,1660,0.03,84.08360129,,
309,1660,0.1,84.40514469,,
310,1660,0.3,83.76205788,,
311,1660,1,82.95819936,,
312,1660,3,84.40514469,,
313,1660,10,83.60128617,,
314,1660,30,83.60128617,,
315,1660,100,83.92282958,,
316,1650,0.01,85.20900322,,
317,1650,0.03,84.7266881,,
318,1650,0.1,84.24437299,,
319,1650,0.3,83.76205788,,
320,1650,1,84.24437299,,
321,1650,3,85.04823151,,
322,1650,10,85.20900322,,
323,1650,30,85.20900322,,
324,1650,100,84.5659164,,
325,1640,0.01,84.40514469,,
326,1640,0.03,82.15434084,,
327,1640,0.1,84.88745981,,
328,1640,0.3,84.24437299,,
329,1640,1,83.76205788,,
330,1640,3,84.40514469,,
331,1640,10,84.40514469,,
332,1640,30,83.76205788,,
333,1640,100,83.44051447,,
334,1630,0.01,84.7266881,,
335,1630,0.03,82.95819936,,
336,1630,0.1,85.69131833,,
337,1630,0.3,83.44051447,,
338,1630,1,84.88745981,,
339,1630,3,84.7266881,,
340,1630,10,84.7266881,,
341,1630,30,84.88745981,,
342,1630,100,82.95819936,,
343,1620,0.01,84.24437299,,
344,1620,0.03,85.20900322,,
345,1620,0.1,84.40514469,,
346,1620,0.3,83.76205788,,
347,1620,1,83.27974277,,
348,1620,3,85.04823151,,
349,1620,10,85.04823151,,
350,1620,30,84.40514469,,
351,1620,100,83.44051447,,
352,1610,0.01,83.60128617,,
353,1610,0.03,84.5659164,,
354,1610,0.1,82.79742765,,
355,1610,0.3,84.40514469,,
356,1610,1,83.76205788,,
357,1610,3,83.27974277,,
358,1610,10,85.20900322,,
359,1610,30,84.88745981,,
360,1610,100,84.88745981,,
361,1600,0.01,84.88745981,,
362,1600,0.03,85.04823151,,
363,1600,0.1,84.24437299,,
364,1600,0.3,85.20900322,,
365,1600,1,83.76205788,,
366,1600,3,84.08360129,,
367,1600,10,85.04823151,,
368,1600,30,85.53054662,,
369,1600,100,83.60128617,,
370,1590,0.01,83.27974277,,
371,1590,0.03,83.76205788,,
372,1590,0.1,84.5659164,,
373,1590,0.3,83.92282958,,
374,1590,1,85.20900322,,
375,1590,3,84.7266881,,
376,1590,10,84.08360129,,
377,1590,30,84.24437299,,
378,1590,100,85.20900322,,
379,1580,0.01,85.53054662,,
380,1580,0.03,83.44051447,,
381,1580,0.1,83.60128617,,
382,1580,0.3,84.08360129,,
383,1580,1,84.5659164,,
384,1580,3,84.08360129,,
385,1580,10,83.11897106,,
386,1580,30,84.5659164,,
387,1580,100,83.76205788,,
388,1570,0.01,84.08360129,,
389,1570,0.03,85.04823151,,
390,1570,0.1,84.40514469,,
391,1570,0.3,82.79742765,,
392,1570,1,84.7266881,,
393,1570,3,85.20900322,,
394,1570,10,83.60128617,,
395,1570,30,83.60128617,,
396,1570,100,84.7266881,,
397,1560,0.01,84.88745981,,
398,1560,0.03,84.08360129,,
399,1560,0.1,85.36977492,,
400,1560,0.3,85.04823151,,
401,1560,1,84.24437299,,
402,1560,3,82.63665595,,
403,1560,10,84.88745981,,
404,1560,30,84.7266881,,
405,1560,100,84.7266881,,
406,1550,0.01,84.5659164,,
407,1550,0.03,85.85209003,,
408,1550,0.1,85.04823151,,
409,1550,0.3,84.5659164,,
410,1550,1,83.60128617,,
411,1550,3,84.24437299,,
412,1550,10,84.08360129,,
413,1550,30,83.76205788,,
414,1550,100,84.40514469,,
415,1540,0.01,83.27974277,,
416,1540,0.03,83.76205788,,
417,1540,0.1,83.44051447,,
418,1540,0.3,83.11897106,,
419,1540,1,84.08360129,,
420,1540,3,83.60128617,,
421,1540,10,83.76205788,,
422,1540,30,84.7266881,,
423,1540,100,84.08360129,,
424,1530,0.01,84.5659164,,
425,1530,0.03,85.69131833,,
426,1530,0.1,84.5659164,,
427,1530,0.3,84.88745981,,
428,1530,1,84.40514469,,
429,1530,3,84.88745981,,
430,1530,10,84.24437299,,
431,1530,30,84.40514469,,
432,1530,100,84.7266881,,
433,1520,0.01,85.36977492,,
434,1520,0.03,85.69131833,,
435,1520,0.1,84.5659164,,
436,1520,0.3,83.27974277,,
437,1520,1,83.60128617,,
438,1520,3,84.40514469,,
439,1520,10,83.60128617,,
440,1520,30,84.5659164,,
441,1520,100,84.5659164,,
442,1510,0.01,85.20900322,,
443,1510,0.03,83.92282958,,
444,1510,0.1,85.85209003,,
445,1510,0.3,84.40514469,,
446,1510,1,85.20900322,,
447,1510,3,83.44051447,,
448,1510,10,84.88745981,,
449,1510,30,84.88745981,,
450,1510,100,83.92282958,,
451,1500,0.01,85.04823151,,
452,1500,0.03,84.40514469,,
453,1500,0.1,85.20900322,,
454,1500,0.3,84.24437299,,
455,1500,1,83.27974277,,
456,1500,3,83.27974277,,
457,1500,10,84.7266881,,
458,1500,30,83.60128617,,
459,1500,100,84.7266881,,
460,1490,0.01,84.88745981,,
461,1490,0.03,83.11897106,,
462,1490,0.1,83.92282958,,
463,1490,0.3,84.08360129,,
464,1490,1,83.27974277,,
465,1490,3,85.36977492,,
466,1490,10,83.60128617,,
467,1490,30,83.92282958,,
468,1490,100,84.24437299,,
469,1480,0.01,86.01286174,,
470,1480,0.03,84.24437299,,
471,1480,0.1,85.20900322,,
472,1480,0.3,83.27974277,,
473,1480,1,84.5659164,,
474,1480,3,84.24437299,,
475,1480,10,84.5659164,,
476,1480,30,84.7266881,,
477,1480,100,85.04823151,,
478,1470,0.01,84.24437299,,
479,1470,0.03,84.88745981,,
480,1470,0.1,83.44051447,,
481,1470,0.3,85.04823151,,
482,1470,1,84.24437299,,
483,1470,3,84.5659164,,
484,1470,10,84.24437299,,
485,1470,30,83.92282958,,
486,1470,100,84.40514469,,
487,1460,0.01,84.88745981,,
488,1460,0.03,84.7266881,,
489,1460,0.1,84.7266881,,
490,1460,0.3,84.08360129,,
491,1460,1,84.40514469,,
492,1460,3,84.5659164,,
493,1460,10,83.92282958,,
494,1460,30,85.85209003,,
495,1460,100,85.20900322,,
496,1450,0.01,84.7266881,,
497,1450,0.03,83.76205788,,
498,1450,0.1,84.08360129,,
499,1450,0.3,83.92282958,,
500,1450,1,84.5659164,,
501,1450,3,82.31511254,,
502,1450,10,82.79742765,,
503,1450,30,83.92282958,,
504,1450,100,84.40514469,,
505,1440,0.01,85.69131833,,
506,1440,0.03,83.76205788,,
507,1440,0.1,82.95819936,,
508,1440,0.3,84.5659164,,
509,1440,1,83.44051447,,
510,1440,3,83.27974277,,
511,1440,10,83.60128617,,
512,1440,30,83.76205788,,
513,1440,100,83.92282958,,
514,1430,0.01,85.20900322,,
515,1430,0.03,82.95819936,,
516,1430,0.1,83.76205788,,
517,1430,0.3,82.31511254,,
518,1430,1,84.5659164,,
519,1430,3,84.40514469,,
520,1430,10,83.92282958,,
521,1430,30,84.08360129,,
522,1430,100,83.11897106,,
523,1420,0.01,85.36977492,,
524,1420,0.03,83.76205788,,
525,1420,0.1,82.95819936,,
526,1420,0.3,83.11897106,,
527,1420,1,84.5659164,,
528,1420,3,83.27974277,,
529,1420,10,84.08360129,,
530,1420,30,83.27974277,,
531,1420,100,82.79742765,,
532,1410,0.01,84.24437299,,
533,1410,0.03,83.60128617,,
534,1410,0.1,83.60128617,,
535,1410,0.3,83.76205788,,
536,1410,1,83.44051447,,
537,1410,3,84.40514469,,
538,1410,10,84.7266881,,
539,1410,30,83.11897106,,
540,1410,100,83.60128617,,
541,1400,0.01,84.24437299,,
542,1400,0.03,84.5659164,,
543,1400,0.1,83.44051447,,
544,1400,0.3,84.40514469,,
545,1400,1,84.40514469,,
546,1400,3,84.08360129,,
547,1400,10,84.24437299,,
548,1400,30,85.04823151,,
549,1400,100,83.44051447,,
550,1390,0.01,85.20900322,,
551,1390,0.03,84.08360129,,
552,1390,0.1,84.08360129,,
553,1390,0.3,83.76205788,,
554,1390,1,82.95819936,,
555,1390,3,83.27974277,,
556,1390,10,84.40514469,,
557,1390,30,84.5659164,,
558,1390,100,83.60128617,,
559,1380,0.01,85.20900322,,
560,1380,0.03,83.11897106,,
561,1380,0.1,83.27974277,,
562,1380,0.3,84.40514469,,
563,1380,1,83.27974277,,
564,1380,3,84.24437299,,
565,1380,10,84.08360129,,
566,1380,30,84.08360129,,
567,1380,100,83.11897106,,
568,1370,0.01,83.76205788,,
569,1370,0.03,82.95819936,,
570,1370,0.1,82.79742765,,
571,1370,0.3,83.76205788,,
572,1370,1,84.24437299,,
573,1370,3,82.79742765,,
574,1370,10,84.5659164,,
575,1370,30,83.60128617,,
576,1370,100,83.76205788,,
577,1360,0.01,84.08360129,,
578,1360,0.03,83.44051447,,
579,1360,0.1,84.40514469,,
580,1360,0.3,83.76205788,,
581,1360,1,83.60128617,,
582,1360,3,82.79742765,,
583,1360,10,83.44051447,,
584,1360,30,82.47588424,,
585,1360,100,84.40514469,,
586,1350,0.01,83.44051447,,
587,1350,0.03,83.44051447,,
588,1350,0.1,82.63665595,,
589,1350,0.3,84.88745981,,
590,1350,1,83.60128617,,
591,1350,3,85.04823151,,
592,1350,10,83.92282958,,
593,1350,30,82.47588424,,
594,1350,100,84.24437299,,
595,1340,0.01,83.60128617,,
596,1340,0.03,83.44051447,,
597,1340,0.1,83.11897106,,
598,1340,0.3,84.7266881,,
599,1340,1,83.92282958,,
600,1340,3,84.40514469,,
601,1340,10,83.76205788,,
602,1340,30,82.95819936,,
603,1340,100,85.85209003,,
604,1330,0.01,84.7266881,,
605,1330,0.03,83.92282958,,
606,1330,0.1,83.92282958,,
607,1330,0.3,84.08360129,,
608,1330,1,84.5659164,,
609,1330,3,82.95819936,,
610,1330,10,83.60128617,,
611,1330,30,83.76205788,,
612,1330,100,84.40514469,,
613,1320,0.01,83.60128617,,
614,1320,0.03,82.63665595,,
615,1320,0.1,83.27974277,,
616,1320,0.3,83.60128617,,
617,1320,1,83.44051447,,
618,1320,3,84.08360129,,
619,1320,10,83.60128617,,
620,1320,30,84.88745981,,
621,1320,100,83.11897106,,
622,1310,0.01,85.69131833,,
623,1310,0.03,84.88745981,,
624,1310,0.1,83.92282958,,
625,1310,0.3,82.47588424,,
626,1310,1,83.76205788,,
627,1310,3,83.76205788,,
628,1310,10,83.44051447,,
629,1310,30,85.04823151,,
630,1310,100,83.27974277,,
631,1300,0.01,84.7266881,,
632,1300,0.03,83.92282958,,
633,1300,0.1,85.36977492,,
634,1300,0.3,83.60128617,,
635,1300,1,84.24437299,,
636,1300,3,82.79742765,,
637,1300,10,86.17363344,,
638,1300,30,85.04823151,,
639,1300,100,83.44051447,,
640,1290,0.01,82.63665595,,
641,1290,0.03,84.5659164,,
642,1290,0.1,84.40514469,,
643,1290,0.3,84.08360129,,
644,1290,1,83.60128617,,
645,1290,3,85.36977492,,
646,1290,10,84.7266881,,
647,1290,30,84.40514469,,
648,1290,100,83.76205788,,
649,1280,0.01,84.24437299,,
650,1280,0.03,82.95819936,,
651,1280,0.1,82.63665595,,
652,1280,0.3,84.08360129,,
653,1280,1,83.27974277,,
654,1280,3,83.44051447,,
655,1280,10,84.08360129,,
656,1280,30,83.76205788,,
657,1280,100,82.31511254,,
658,1270,0.01,84.5659164,,
659,1270,0.03,82.95819936,,
660,1270,0.1,82.95819936,,
661,1270,0.3,83.27974277,,
662,1270,1,84.88745981,,
663,1270,3,82.95819936,,
664,1270,10,83.60128617,,
665,1270,30,83.76205788,,
666,1270,100,84.24437299,,
667,1260,0.01,83.92282958,,
668,1260,0.03,84.08360129,,
669,1260,0.1,82.95819936,,
670,1260,0.3,83.60128617,,
671,1260,1,84.7266881,,
672,1260,3,82.95819936,,
673,1260,10,83.27974277,,
674,1260,30,83.76205788,,
675,1260,100,84.08360129,,
676,1250,0.01,84.24437299,,
677,1250,0.03,83.60128617,,
678,1250,0.1,83.11897106,,
679,1250,0.3,83.27974277,,
680,1250,1,85.20900322,,
681,1250,3,83.11897106,,
682,1250,10,83.76205788,,
683,1250,30,83.11897106,,
684,1250,100,84.40514469,,
685,1240,0.01,84.24437299,,
686,1240,0.03,83.44051447,,
687,1240,0.1,82.79742765,,
688,1240,0.3,84.88745981,,
689,1240,1,83.27974277,,
690,1240,3,82.95819936,,
691,1240,10,83.76205788,,
692,1240,30,83.44051447,,
693,1240,100,83.44051447,,
694,1230,0.01,85.04823151,,
695,1230,0.03,83.11897106,,
696,1230,0.1,84.7266881,,
697,1230,0.3,83.92282958,,
698,1230,1,83.60128617,,
699,1230,3,83.92282958,,
700,1230,10,81.99356913,,
701,1230,30,84.24437299,,
702,1230,100,83.44051447,,
