"","V1","V2","V3","V4","V5","V6","V7"
"23",2600,1,0.732738353587962,0.697048611111111,0.723958333333333,0.670138888888889,0.394669222862402
"24",2600,10,0.732738353587962,0.697048611111111,0.723958333333333,0.670138888888889,0.394669222862402
"25",2600,100,0.732738353587962,0.697048611111111,0.723958333333333,0.670138888888889,0.394669222862402
"26",2500,0.01,0.731258439429013,0.686631944444444,0.644097222222222,0.729166666666667,0.374621884007368
"27",2500,0.1,0.731258439429013,0.686631944444444,0.644097222222222,0.729166666666667,0.374621884007368
"28",2500,1,0.731258439429013,0.686631944444444,0.644097222222222,0.729166666666667,0.374621884007368
"29",2500,10,0.731258439429013,0.686631944444444,0.644097222222222,0.729166666666667,0.374621884007368
"30",2500,100,0.731258439429013,0.686631944444444,0.644097222222222,0.729166666666667,0.374621884007368
"31",2400,0.01,0.737805025077161,0.692708333333333,0.722222222222222,0.663194444444444,0.386089875926924
"32",2400,0.1,0.737805025077161,0.692708333333333,0.722222222222222,0.663194444444444,0.386089875926924
"33",2400,1,0.737805025077161,0.692708333333333,0.722222222222222,0.663194444444444,0.386089875926924
"34",2400,10,0.737805025077161,0.692708333333333,0.722222222222222,0.663194444444444,0.386089875926924
"35",2400,100,0.737805025077161,0.692708333333333,0.722222222222222,0.663194444444444,0.386089875926924
"36",2300,0.01,0.738624855324074,0.691840277777778,0.743055555555556,0.640625,0.385709325793033
"37",2300,0.1,0.738624855324074,0.691840277777778,0.743055555555556,0.640625,0.385709325793033
"38",2300,1,0.738624855324074,0.691840277777778,0.743055555555556,0.640625,0.385709325793033
"39",2300,10,0.738624855324074,0.691840277777778,0.743055555555556,0.640625,0.385709325793033
"40",2300,100,0.738624855324074,0.691840277777778,0.743055555555556,0.640625,0.385709325793033
"41",2200,0.01,0.72070613908179,0.677951388888889,0.647569444444444,0.708333333333333,0.356561643914116
"42",2200,0.1,0.72070613908179,0.677951388888889,0.647569444444444,0.708333333333333,0.356561643914116
